:german-time: 10.6.2022 17:52:56 :method GET :url /test :status 403 :res[content-length] 9 - :res[time] 6.286ms ::ffff:127.0.0.1
:german-time: 10.6.2022 17:54:14 :method GET :url /test :status 403 :res[content-length] 9 - :res[time] 3.195ms ::ffff:127.0.0.1
:german-time: 10.6.2022 17:54:21 :method GET :url /test :status 401 :res[content-length] 12 - :res[time] 3.544ms ::ffff:127.0.0.1
:german-time: 10.6.2022 17:54:41 :method GET :url /test :status 401 :res[content-length] 12 - :res[time] 1.611ms ::ffff:127.0.0.1
:german-time: 10.6.2022 17:55:07 :method GET :url /test/1 :status 403 :res[content-length] 9 - :res[time] 2.883ms ::ffff:127.0.0.1
:german-time: 10.6.2022 18:04:34 :method GET :url /test :status 401 :res[content-length] 12 - :res[time] 2.676ms ::ffff:127.0.0.1
:german-time: 10.6.2022 18:05:13 :method GET :url /test :status 401 :res[content-length] 12 - :res[time] 1.849ms ::ffff:127.0.0.1
:german-time: 14.6.2022 11:16:24 :method GET :url /test :status 403 :res[content-length] 9 - :res[time] 13.905ms ::ffff:127.0.0.1
:german-time: 14.6.2022 11:16:27 :method GET :url /test/1 :status 403 :res[content-length] 9 - :res[time] 2.041ms ::ffff:127.0.0.1
:german-time: 14.6.2022 11:16:34 :method POST :url /login :status 401 :res[content-length] 55 - :res[time] 64.307ms ::ffff:127.0.0.1
:german-time: 14.6.2022 11:17:34 :method GET :url /test :status 403 :res[content-length] 9 - :res[time] 2.980ms ::ffff:127.0.0.1
:german-time: 15.6.2022 16:16:45 :method GET :url /test :status 403 :res[content-length] 9 - :res[time] 9.287ms:ip ::ffff:127.0.0.1
:german-time: 15.6.2022 16:17:04 :method GET :url /test :status 403 :res[content-length] 9 - :res[time] 10.117ms :ip ::ffff:127.0.0.1
:german-time: 15.6.2022 16:20:02 :method GET :url /test :status 403 :size 9Bytes - :res[time] 6.251ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 10:56:04 :method PUT :url /events :status 500 :size 35 Bytes - :res[time] 25.258ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 10:59:10 :method PUT :url /events :status 500 :size 3194 Bytes - :res[time] 23.107ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 11:00:48 :method PUT :url /events :status 500 :size 3194 Bytes - :res[time] 27.693ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 11:03:05 :method PUT :url /events :status 500 :size 3194 Bytes - :res[time] 20.929ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 11:03:57 :method PUT :url /events :status 500 :size 3194 Bytes - :res[time] 32.784ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 11:04:34 :method PUT :url /events :status 500 :size 3194 Bytes - :res[time] 24.255ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 11:05:05 :method PUT :url /events :status 500 :size 3194 Bytes - :res[time] 14.052ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 11:05:24 :method PUT :url /events :status 500 :size 3194 Bytes - :res[time] 21.350ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 11:21:01 :method PUT :url /events :status 500 :size 87 Bytes - :res[time] 40.231ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 11:28:59 :method PUT :url /events :status 500 :size 141 Bytes - :res[time] 67.262ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 14:11:49 :method GET :url /favicon.ico :status 401 :size 12 Bytes - :res[time] 0.661ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 14:11:56 :method GET :url /event :status 401 :size 12 Bytes - :res[time] 0.659ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 14:19:43 :method PUT :url /events :status 500 :size 134 Bytes - :res[time] 69.290ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 15:18:55 :method PATCH :url /events/Author-berlin-meeeting-20-6-2022 :status 401 :size 12 Bytes - :res[time] 10.834ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 15:18:58 :method PATCH :url /events/Author-berlin-meeeting-20-6-2022 :status 401 :size 12 Bytes - :res[time] 1.178ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 15:19:30 :method PATCH :url /events/Author-berlin-meeeting-20-6-2022 :status 401 :size 12 Bytes - :res[time] 11.631ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 15:50:17 :method DELETE :url /events/ :status 403 :size 9 Bytes - :res[time] 10.160ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 15:55:22 :method DELETE :url /events/1 :status 404 :size 9 Bytes - :res[time] 38.527ms :ip ::ffff:127.0.0.1
:german-time: 20.6.2022 16:02:59 :method DELETE :url /events/1 :status 404 :size 44 Bytes - :res[time] 59.259ms :ip ::ffff:127.0.0.1
